Postcode,Threshold1,Threshold2,Threshold3,Threshold4,CardsInForce0,CardsInForce1,CardsInForce2,Transactions,SpentAtMerchants,RetailTransactions,SpentAtRetailMerchants,DiningTransactions,SpentAtDiningMerchants,LodgeTransactions,SpentAtLodgeMerchants
2146,,,x,,2780,2438,342,"51,764","2,263,305.71",42532,1831439.67,3895,164138.27,3,470
2147,,,x,,4700,4393,307,"324,456","48,684,633.58",250852,43855882.26,21307,562839.55,0,0
2148,,,x,,5890,5466,424,"798,297","454,221,388.94",491539,411790793,174429,14504577.57,4717,1627073.34
2149,x,,,,27,27,0,502,"123,980.55",55,67563,0,0,0,0
2150,,,x,,5962,4819,1143,"2,622,262","276,406,703.04",668464,85027311.05,110155,7340502.57,22558,11283781.54
2151,,,x,,5117,4605,512,"283,318","34,770,268.97",216922,23576551.75,18324,585871.64,0,0
2152,,,x,,2487,2412,75,"211,020","54,872,519.37",123298,51410027.51,35185,835779.08,0,0
2153,,,x,,18810,17726,1084,"1,371,510","282,102,365.72",1101682,244948403.6,67765,3238895.8,3755,1760505.97
2154,,,x,,15943,15495,448,"1,385,248","166,655,591.41",1225511,139371175.9,60306,4087891.87,749,437296.32
2155,,,x,,13505,13047,458,"857,339","59,157,299.68",700898,48798336.97,56615,1922319.15,0,0
2156,,,x,,5615,5447,168,"20,233","3,641,691.02",5533,884684.82,5793,763012.25,3,12709.34
2157,,,x,,1048,1013,35,"34,056","2,955,077.13",33377,2885318.02,199,11460.1,0,0
2158,,,x,,4371,4190,181,"291,935","25,278,785.86",203136,17895255.94,24383,1353106.22,0,0
2159,,,x,,1688,1657,31,"7,693","756,218.13",6031,323700.06,1056,113747.25,0,0
2160,,,x,,3999,3891,108,"359,439","17,294,005.53",185968,8901204.48,16967,319928.24,0,0
2161,x,,,,2778,2623,155,"23,748","17,970,678.30",9804,17249976.72,3337,79414.82,0,0
2162,,,x,,1932,1838,94,"58,923","7,625,399.77",49484,7030851.75,752,43762.45,0,0
2163,x,,,,569,529,40,"56,682","8,654,304.76",32798,3792585.4,7088,105072.29,0,0
2164,,,x,,2742,2190,552,"268,088","74,854,728.86",193210,52064263.22,26795,1755192.29,0,0
2165,,,x,,2871,2761,110,"163,478","9,849,283.76",122865,7032699.85,7111,335648.47,0,0
2166,,,x,,3766,3665,101,"167,909","14,218,196.53",117159,10920463.56,9776,669852.66,195,8379.5
2167,x,,,,1141,1112,29,"1,271","116,826.89",270,88423.4,11,109.4,0,0
2168,,,x,,2539,2470,69,"81,939","4,361,194.52",56697,3077942.59,4995,89827.79,0,0
2170,,,x,,10099,9029,1070,"1,096,359","173,062,966.81",668740,102708076.8,70976,2967295.43,2652,980286.87
2171,,,x,,3974,3806,168,"195,312","14,271,937.89",140189,10430318.05,17495,1346627.55,0,0
2172,,x,,,547,530,17,39,"53,372.94",31,38660.67,0,0,0,0
2173,,,x,,1999,1958,41,"72,722","3,535,570.39",52143,2519584.92,452,16184.17,0,0
2174,,x,,,219,211,8,"8,413","1,552,635.11",3464,1482375.07,4947,69579.61,0,0
2175,x,,,,336,297,39,"10,993","1,397,603.84",589,31513.38,1216,299407.78,0,0
2176,,,x,,5137,4995,142,"50,203","2,949,157.72",32487,1835534.31,5050,177562.04,0,0
2177,,,x,,1382,1352,30,"97,131","5,394,929.46",72219,4165858.44,11775,223279.47,0,0
2178,x,,,,507,485,22,"4,305","994,945.82",169,556994.73,304,45858.86,0,0
2179,x,,,,614,579,35,"13,626","915,730.62",4569,328018.9,65,2925.99,0,0
2180,x,,,,3,3,0,60,"9,375.05",60,9375.05,0,0,0,0
2184,x,,,,3,3,0, -   , -   ,0,0,0,0,0,0
2186,x,,,,2,0,2, -   , -   ,0,0,0,0,0,0
2188,,x,,,5,5,0, -   , -   ,0,0,0,0,0,0
2190,,,x,,3923,3682,241,"364,668","31,903,317.30",230006,23182250.05,21900,681594.76,394,116314.36
2191,,,x,,1345,1304,41,"4,323","558,448.35",249,264169.67,761,65955.83,0,0
2192,,,x,,1620,1531,89,"82,206","5,726,757.75",37213,2908743.12,6655,511483.99,0,0
2193,,,x,,3119,3080,39,"31,480","2,349,141.26",9438,1516142.74,8789,156090.77,0,0
2194,,,x,,3894,3822,72,"119,979","9,262,066.04",101906,5977487.66,1799,120669.77,0,0
2195,,,x,,2030,1988,42,"97,552","8,393,493.62",66101,6026830.12,13772,218130.11,0,0
2196,,,x,,3672,3592,80,"229,286","20,242,505.68",157865,16144004.25,10524,202034.18,0,0
2197,,,x,,1009,974,35,"103,345","6,058,680.42",62701,3873945.75,7359,117593.32,1185,447421.09
2198,,,x,,1628,1586,42,"12,612","1,556,963.72",5868,260542.37,645,74015.13,0,0
2199,,,x,,2190,2126,64,"71,123","4,908,565.60",21721,1232975.03,12,348,0,0
2200,,,x,,5540,5314,226,"399,239","49,269,821.84",321727,38532174.87,27387,871287.81,3003,1097491.33
2202,x,,,,4,3,1,149,"2,583.69",0,0,149,2583.69,0,0
2203,,,x,,3196,3132,64,"20,572","2,048,861.18",11078,1088116.74,4593,258850.07,0,0
2204,,,x,,4927,4767,160,"495,917","45,721,607.79",448431,35977881.52,10699,1186431.19,0,0
2205,,,x,,3753,3644,109,"178,402","19,277,742.08",149795,16424653.66,6476,314911.03,7962,1745357.77
2206,,,x,,4569,4454,115,"84,329","5,666,067.48",70000,4702629.35,2070,88183.19,0,0
2207,,,x,,5405,5270,135,"62,487","5,505,617.10",15772,2465529.55,9531,231801.96,0,0
